node_index,node_id,node_name
14087,DB07201,(2S)-3-[(9H-fluoren-9-ylideneamino)oxy]-2-methylpropanoic acid
14088,DB07240,3-[(9H-fluoren-9-ylideneamino)oxy]propanoic acid
14089,DB07282,3-({[(1Z)-(2-methoxyphenyl)methylidene]amino}oxy)propanoic acid
14090,DB07693,"N-(3,5-dibromo-4-hydroxyphenyl)-2,6-dimethylbenzamide"
14091,DB07694,"2,5-dichloro-N-(3,5-dibromo-4-hydroxyphenyl)benzamide"
14092,DB07695,"N-(3,5-dibromo-4-hydroxyphenyl)-4-hydroxy-3,5-dimethylbenzamide"
14093,DB07753,"3',5'-DIFLUOROBIPHENYL-4-CARBOXYLIC ACID"
14094,DB07775,"3',5'-DIBROMO-2',4,4',6'-TETRAHYDROXY AURONE"
14095,DB07962,"METHYL N-[(2',4'-DIFLUORO-4-HYDROXY-5-IODOBIPHENYL-3-YL)CARBONYL]-BETA-ALANINATE"
14096,DB07963,"N-[(2',4'-DIFLUORO-4-HYDROXY-5-IODOBIPHENYL-3-YL)CARBONYL]-BETA-ALANINE"
14097,DB08100,"2,6-dimethyl-4-[(E)-2-phenylethenyl]phenol"
14098,DB08101,"2,6-dibromo-4-[(E)-2-phenylethenyl]phenol"
14099,DB08102,"3,5-dibromobiphenyl-4-ol"
14100,DB08103,"2,6-dibromo-4-phenoxyphenol"
14101,DB08104,"N-(3,5-dibromo-4-hydroxyphenyl)benzamide"
14102,DB08205,"4-(1,3-BENZOXAZOL-2-YL)-2,6-DIMETHYLPHENOL"
14103,DB08206,"4-(1,3-BENZOXAZOL-2-YL)-2,6-DIBROMOPHENOL"
14104,DB08207,"2-(3,5-DIMETHYLPHENYL)-1,3-BENZOXAZOLE"
14105,DB09100,"Thyroid, porcine"
14106,DB00200,Hydroxocobalamin
14107,DB13751,Glycyrrhizic acid
14108,DB09270,Ubidecarenone
14109,DB11251,Tocopherol
14110,DB14003,alpha-Tocopherol acetate
14111,DB00523,Alitretinoin
14112,DB00926,Etretinate
14113,DB04942,Tamibarotene
14114,DB00893,Iron Dextran
14115,DB01294,Bismuth subsalicylate
14116,DB05260,Gallium nitrate
14117,DB11136,Chromium
14118,DB11182,Rose bengal
14119,DB13949,Ferric cation
14120,DB14520,Tetraferric tricitrate decahydrate
14121,DB14526,Chromic citrate
14122,DB14527,Chromic nitrate
14123,DB14528,Chromium gluconate
14124,DB14529,Chromium nicotinate
14125,DB14530,Chromous sulfate
14126,DB00070,Hyaluronidase (ovine)
14127,DB00104,Octreotide
14128,DB00126,Ascorbic acid
14129,DB00137,Lutein
14130,DB00152,Thiamine
14131,DB00159,Icosapent
14132,DB00165,Pyridoxine
14133,DB00214,Torasemide
14134,DB00220,Nelfinavir
14135,DB00227,Lovastatin
14136,DB00228,Enflurane
14137,DB00237,Butabarbital
14138,DB00238,Nevirapine
14139,DB00245,Benzatropine
14140,DB00246,Ziprasidone
14141,DB00252,Phenytoin
14142,DB00264,Metoprolol
14143,DB00266,Dicoumarol
14144,DB00273,Topiramate
14145,DB00274,Cefmetazole
14146,DB00278,Argatroban
14147,DB00286,Conjugated estrogens
14148,DB00289,Atomoxetine
14149,DB00294,Etonogestrel
14150,DB00295,Morphine
14151,DB00304,Desogestrel
14152,DB00310,Chlorthalidone
14153,DB00313,Valproic acid
14154,DB00316,Acetaminophen
14155,DB00317,Gefitinib
14156,DB00321,Amitriptyline
14157,DB00327,Hydromorphone
14158,DB00328,Indomethacin
14159,DB00332,Ipratropium
14160,DB00333,Methadone
14161,DB00334,Olanzapine
14162,DB00335,Atenolol
14163,DB00343,Diltiazem
14164,DB00404,Alprazolam
14165,DB00412,Rosiglitazone
14166,DB00414,Acetohexamide
14167,DB00415,Ampicillin
14168,DB00421,Spironolactone
14169,DB00430,Cefpiramide
14170,DB00432,Trifluridine
14171,DB00454,Meperidine
14172,DB00456,Cefalotin
14173,DB00458,Imipramine
14174,DB00459,Acitretin
14175,DB00461,Nabumetone
14176,DB00472,Fluoxetine
14177,DB00476,Duloxetine
14178,DB00477,Chlorpromazine
14179,DB00481,Raloxifene
14180,DB00490,Buspirone
14181,DB00495,Zidovudine
14182,DB00497,Oxycodone
14183,DB00500,Tolmetin
14184,DB00503,Ritonavir
14185,DB00512,Vancomycin
14186,DB00515,Cisplatin
14187,DB00530,Erlotinib
14188,DB00537,Ciprofloxacin
14189,DB00540,Nortriptyline
14190,DB00544,Fluorouracil
14191,DB00554,Piroxicam
14192,DB00555,Lamotrigine
14193,DB00557,Hydroxyzine
14194,DB00563,Methotrexate
14195,DB00567,Cephalexin
14196,DB00571,Propranolol
14197,DB00573,Fenoprofen
14198,DB00575,Clonidine
14199,DB00576,Sulfamethizole
14200,DB00584,Enalapril
14201,DB00595,Oxytetracycline
14202,DB00598,Labetalol
14203,DB00603,Medroxyprogesterone acetate
14204,DB00605,Sulindac
14205,DB00607,Nafcillin
14206,DB00608,Chloroquine
14207,DB00619,Imatinib
14208,DB00624,Testosterone
14209,DB00625,Efavirenz
14210,DB00649,Stavudine
14211,DB00655,Estrone
14212,DB00661,Verapamil
14213,DB00675,Tamoxifen
14214,DB00677,Isoflurophate
14215,DB00678,Losartan
14216,DB00682,Warfarin
14217,DB00695,Furosemide
14218,DB00709,Lamivudine
14219,DB00712,Flurbiprofen
14220,DB00714,Apomorphine
14221,DB00717,Norethisterone
14222,DB00731,Nateglinide
14223,DB00734,Risperidone
14224,DB00737,Meclizine
14225,DB00743,Gadobenic acid
14226,DB00744,Zileuton
14227,DB00749,Etodolac
14228,DB00753,Isoflurane
14229,DB00755,Tretinoin
14230,DB00759,Tetracycline
14231,DB00762,Irinotecan
14232,DB00768,Olopatadine
14233,DB00774,Hydroflumethiazide
14234,DB00776,Oxcarbazepine
14235,DB00783,Estradiol
14236,DB00784,Mefenamic acid
14237,DB00787,Acyclovir
14238,DB00788,Naproxen
14239,DB00802,Alfentanil
14240,DB00808,Indapamide
14241,DB00813,Fentanyl
14242,DB00814,Meloxicam
14243,DB00815,Sodium lauryl sulfate
14244,DB00818,Propofol
14245,DB00829,Diazepam
14246,DB00842,Oxazepam
14247,DB00845,Clofazimine
14248,DB00847,Cysteamine
14249,DB00852,Pseudoephedrine
14250,DB00857,Terbinafine
14251,DB00864,Tacrolimus
14252,DB00870,Suprofen
14253,DB00878,Chlorhexidine
14254,DB00879,Emtricitabine
14255,DB00881,Quinapril
14256,DB00900,Didanosine
14257,DB00903,Etacrynic acid
14258,DB00908,Quinidine
14259,DB00912,Repaglinide
14260,DB00924,Cyclobenzaprine
14261,DB00931,Metacycline
14262,DB00936,Salicylic acid
14263,DB00938,Salmeterol
14264,DB00943,Zalcitabine
14265,DB00946,Phenprocoumon
14266,DB00950,Fexofenadine
14267,DB00951,Isoniazid
14268,DB00957,Norgestimate
14269,DB00959,Methylprednisolone
14270,DB00977,Ethinylestradiol
14271,DB00982,Isotretinoin
14272,DB00983,Formoterol
14273,DB00993,Azathioprine
14274,DB00995,Auranofin
14275,DB00997,Doxorubicin
14276,DB00999,Hydrochlorothiazide
14277,DB01006,Letrozole
14278,DB01009,Ketoprofen
14279,DB01015,Sulfamethoxazole
14280,DB01016,Glyburide
14281,DB01026,Ketoconazole
14282,DB01029,Irbesartan
14283,DB01032,Probenecid
14284,DB01039,Fenofibrate
14285,DB01044,Gatifloxacin
14286,DB01045,Rifampicin
14287,DB01050,Ibuprofen
14288,DB01053,Benzylpenicillin
14289,DB01056,Tocainide
14290,DB01057,Echothiophate
14291,DB01060,Amoxicillin
14292,DB01062,Oxybutynin
14293,DB01067,Glipizide
14294,DB01068,Clonazepam
14295,DB01069,Promethazine
14296,DB01072,Atazanavir
14297,DB01076,Atorvastatin
14298,DB01098,Rosuvastatin
14299,DB01104,Sertraline
14300,DB01110,Miconazole
14301,DB01115,Nifedipine
14302,DB01118,Amiodarone
14303,DB01120,Gliclazide
14304,DB01124,Tolbutamide
14305,DB01126,Dutasteride
14306,DB01132,Pioglitazone
14307,DB01133,Tiludronic acid
14308,DB01136,Carvedilol
14309,DB01137,Levofloxacin
14310,DB01142,Doxepin
14311,DB01147,Cloxacillin
14312,DB01159,Halothane
14313,DB01169,Arsenic trioxide
14314,DB01183,Naloxone
14315,DB01189,Desflurane
14316,DB01195,Flecainide
14317,DB01197,Captopril
14318,DB01212,Ceftriaxone
14319,DB01232,Saquinavir
14320,DB01234,Dexamethasone
14321,DB01235,Levodopa
14322,DB01236,Sevoflurane
14323,DB01238,Aripiprazole
14324,DB01241,Gemfibrozil
14325,DB01242,Clomipramine
14326,DB01264,Darunavir
14327,DB01275,Hydralazine
14328,DB01276,Exenatide
14329,DB01307,Insulin detemir
14330,DB01320,Fosphenytoin
14331,DB01324,Polythiazide
14332,DB01327,Cefazolin
14333,DB01328,Cefonicid
14334,DB01329,Cefoperazone
14335,DB01330,Cefotetan
14336,DB01364,Ephedrine
14337,DB01370,Aluminium
14338,DB01394,Colchicine
14339,DB01396,Digitoxin
14340,DB01397,Magnesium salicylate
14341,DB01418,Acenocoumarol
14342,DB01420,Testosterone propionate
14343,DB01581,Sulfamerazine
14344,DB01582,Sulfamethazine
14345,DB01587,Ketazolam
14346,DB01601,Lopinavir
14347,DB01611,Hydroxychloroquine
14348,DB01614,Acepromazine
14349,DB01621,Pipotiazine
14350,DB01622,Thioproperazine
14351,DB01623,Thiothixene
14352,DB01685,Topiroxostat
14353,DB01914,D-glucose
14354,DB03017,Lauric acid
14355,DB03193,Stearic acid
14356,DB03585,Oxyphenbutazone
14357,DB03600,Capric acid
14358,DB03796,Palmitic Acid
14359,DB04216,Quercetin
14360,DB04224,Oleic Acid
14361,DB04539,Glyphosate
14362,DB04557,Arachidonic Acid
14363,DB04574,Estrone sulfate
14364,DB04690,Camptothecin
14365,DB04711,Iodipamide
14366,DB04816,Dantron
14367,DB04828,Zomepirac
14368,DB04855,Dronedarone
14369,DB04861,Nebivolol
14370,DB04911,Oritavancin
14371,DB04951,Pirfenidone
14372,DB05134,Tanespimycin
14373,DB05294,Vandetanib
14374,DB05382,Iodine
14375,DB05521,Telaprevir
14376,DB05812,Abiraterone
14377,DB06119,Cenobamate
14378,DB06201,Rufinamide
14379,DB06209,Prasugrel
14380,DB06216,Asenapine
14381,DB06282,Levocetirizine
14382,DB06290,Simeprevir
14383,DB06412,Oxymetholone
14384,DB06480,Prucalopride
14385,DB06655,Liraglutide
14386,DB06705,Gadofosveset trisodium
14387,DB06710,Methyltestosterone
14388,DB06716,Fospropofol
14389,DB06796,Mangafodipir
14390,DB07402,Azapropazone
14391,DB07517,3-CARBOXY-4-METHYL-5-PROPYL-2-FURANPROPIONIC
14392,DB07565,Chloramphenicol succinate
14393,DB07992,Indoxyl sulfate
14394,DB08231,Myristic acid
14395,DB08496,(R)-warfarin
14396,DB08735,"R,S-Warfarin alcohol"
14397,DB08736,"S,R-Warfarin alcohol"
14398,DB08814,Triflusal
14399,DB08816,Ticagrelor
14400,DB08820,Ivacaftor
14401,DB08828,Vismodegib
14402,DB08860,Pitavastatin
14403,DB08864,Rilpivirine
14404,DB08867,Ulipristal
14405,DB08881,Vemurafenib
14406,DB08893,Mirabegron
14407,DB08895,Tofacitinib
14408,DB08899,Enzalutamide
14409,DB08931,Riociguat
14410,DB08932,Macitentan
14411,DB09053,Ibrutinib
14412,DB09073,Palbociclib
14413,DB09079,Nintedanib
14414,DB09087,Potassium alum
14415,DB09093,Chlortetracycline
14416,DB09139,Technetium Tc-99m oxidronate
14417,DB09195,Lorpiprazole
14418,DB09204,Arotinolol
14419,DB09213,Dexibuprofen
14420,DB09223,Blonanserin
14421,DB09229,Aranidipine
14422,DB09236,Lacidipine
14423,DB09237,Levamlodipine
14424,DB09241,Methylene blue
14425,DB09262,Imidafenacin
14426,DB09274,Artesunate
14427,DB09280,Lumacaftor
14428,DB09299,Tenofovir alafenamide
14429,DB09333,Iopodic acid
14430,DB09347,Acetrizoic acid
14431,DB09348,Propiolactone
14432,DB09383,Meprednisone
14433,DB09418,Potassium perchlorate
14434,DB09526,Hydroquinone
14435,DB09564,Insulin degludec
14436,DB11093,Calcium citrate
14437,DB11130,Opium
14438,DB11134,Cupric oxide
14439,DB11148,Butamben
14440,DB11217,Arbutin
14441,DB11348,Calcium Phosphate
14442,DB11397,Dichlorvos
14443,DB11575,Grazoprevir
14444,DB11590,Thimerosal
14445,DB11637,Delamanid
14446,DB11641,Vinflunine
14447,DB11642,Pitolisant
14448,DB11677,Triheptanoin
14449,DB11689,Selumetinib
14450,DB11703,Acalabrutinib
14451,DB11753,Rifamycin
14452,DB11757,Istradefylline
14453,DB11796,Fostemsavir
14454,DB11820,Nifurtimox
14455,DB11827,Ertugliflozin
14456,DB11828,Neratinib
14457,DB11853,Relugolix
14458,DB11855,Revefenacin
14459,DB11943,Delafloxacin
14460,DB11963,Dacomitinib
14461,DB11978,Glasdegib
14462,DB12001,Abemaciclib
14463,DB12141,Gilteritinib
14464,DB12404,Remimazolam
14465,DB12455,Omadacycline
14466,DB12466,Favipiravir
14467,DB12483,Copanlisib
14468,DB12674,Lurbinectedin
14469,DB12836,Grapiprant
14470,DB12941,Darolutamide
14471,DB12978,Pexidartinib
14472,DB13014,Hypericin
14473,DB13421,Edoxudine
14474,DB13909,Bismuth subgallate
14475,DB13928,Semaglutide
14476,DB13943,Testosterone cypionate
14477,DB13944,Testosterone enanthate
14478,DB13946,Testosterone undecanoate
14479,DB13952,Estradiol acetate
14480,DB13953,Estradiol benzoate
14481,DB13954,Estradiol cypionate
14482,DB13955,Estradiol dienanthate
14483,DB13956,Estradiol valerate
14484,DB14126,Tenofovir
14485,DB14185,Aripiprazole lauroxil
14486,DB14481,Calcium phosphate dihydrate
14487,DB14513,Magnesium
14488,DB14517,Aluminium phosphate
14489,DB14518,Aluminum acetate
14490,DB14533,Zinc chloride
14491,DB14548,"Zinc sulfate, unspecified form"
14492,DB14582,Patisiran
14493,DB14649,Dexamethasone acetate
14494,DB14840,Ripretinib
14495,DB14879,Cefiderocol
14496,DB14999,Human interferon beta
14497,DB15093,Somapacitan
14498,DB15305,Risdiplam
14499,DB15444,Elexacaftor
14500,DB15534,Colchiceine
14501,DB15690,Fluoroestradiol F-18
14502,DB00023,Asparaginase Escherichia coli
14503,DB00059,Pegaspargase
14504,DB00322,Floxuridine
14505,DB00532,Mephenytoin
14506,DB00627,Niacin
14507,DB00636,Clofibrate
14508,DB00754,Ethotoin
14509,DB00939,Meclofenamic acid
14510,DB01109,Heparin
14511,DB01219,Dantrolene
14512,DB01452,Diamorphine
14513,DB01629,5-fluorouridine
14514,DB08886,Asparaginase Erwinia chrysanthemi
14515,DB08984,Etofenamate
14516,DB09256,Tegafur
14517,DB09317,"Synthetic Conjugated Estrogens, A"
14518,DB09318,"Synthetic Conjugated Estrogens, B"
14519,DB09381,Esterified estrogens
14520,DB11100,Allantoin
14521,DB12425,Liothyronine I-131
14522,DB13396,Neocitrullamon
14523,DB02080,"1-{2-[2-(2-Methoxyethoxy)Ethoxy]Ethoxy}-4-(1,1,3,3-Tetramethylbutyl)Benzene"
14524,DB14001,alpha-Tocopherol succinate
14525,DB14002,D-alpha-Tocopherol acetate
14526,DB00858,Drostanolone
14527,DB01185,Fluoxymesterone
14528,DB01406,Danazol
14529,DB02342,2-Methoxyestradiol
14530,DB02901,Stanolone
14531,DB03882,"5-Alpha-Androstane-3-Beta,17beta-Diol"
14532,DB03926,"5alpha-androstane-3beta,17alpha-diol"
14533,DB13951,Stanolone acetate
14534,DB08127,"1,3,3-trimethyl-2-[(1E,3E)-3-methylpenta-1,3-dien-1-yl]cyclohexene"
14535,DB08455,Ro 12-7310
14536,DB08467,"6-(2,3,4,5,6,7-HEXAHYDRO-2,4,4-TRIMETHYL-1-METYLENEINDEN-2-YL)-3-METHYLHEXA-2,4-DIENOIC ACID"
14537,DB00243,Ranolazine
14538,DB00280,Disopyramide
14539,DB00457,Prazosin
14540,DB00543,Amoxapine
14541,DB00706,Tamsulosin
14542,DB00934,Maprotiline
14543,DB01151,Desipramine
14544,DB01156,Bupropion
14545,DB01190,Clindamycin
14546,DB01233,Metoclopramide
14547,DB01359,Penbutolol
14548,DB01426,Ajmaline
14549,DB01429,Aprindine
14550,DB04821,Nomifensine
14551,DB08907,Canagliflozin
14552,DB09568,Omega-3-carboxylic acids
14553,DB14007,Pentetic acid
14554,DB01277,Mecasermin
14555,DB09160,Technetium Tc-99m tetrofosmin
14556,DB09329,"Antihemophilic Factor (Recombinant), PEGylated"
14557,DB14738,Turoctocog alfa pegol
14558,DB00292,Etomidate
14559,DB00136,Calcitriol
14560,DB00153,Ergocalciferol
14561,DB00169,Cholecalciferol
14562,DB01436,Alfacalcidol
14563,DB02153,3-sulfino-L-alanine
14564,DB02776,1-Hexadecanosulfonic Acid
14565,DB03009,2-{[2-Oxo-2-(1-piperidinyl)ethyl]sulfanyl}-6-(trifluoromethyl)-4(1H)-pyrimidinone
14566,DB03766,Propanoic acid
14567,DB03851,Carbazole Butanoic Acid
14568,DB04437,"Cysteine-Methylene-Carbamoyl-1,10-Phenanthroline"
14569,DB07283,"9-benzyl-2,3,4,9-tetrahydro-1H-carbazole-8-carboxylic acid"
14570,DB07945,"5-(3-carbamoylbenzyl)-5,6,7,8,9,10-hexahydrocyclohepta[b]indole-4-carboxylic acid"
14571,DB08607,"(5R)-5-(4-{[(2R)-6-HYDROXY-2,5,7,8-TETRAMETHYL-3,4-DIHYDRO-2H-CHROMEN-2-YL]METHOXY}BENZYL)-1,3-THIAZOLIDINE-2,4-DIONE"
14572,DB00132,alpha-Linolenic acid
14573,DB00154,Dihomo-gamma-linolenic acid
14574,DB01138,Sulfinpyrazone
14575,DB09555,Dexchlorpheniramine maleate
14576,DB02074,Butenoic Acid
14577,DB02216,S-Methylcysteine
14578,DB02659,Cholic Acid
14579,DB00507,Nitazoxanide
14580,DB00409,Remoxipride
14581,DB00907,Cocaine
14582,DB01203,Nadolol
14583,DB01591,Solifenacin
14584,DB00130,L-Glutamine
14585,DB11118,Ammonia
14586,DB00157,NADH
14587,DB00898,Ethanol
14588,DB01020,Isosorbide mononitrate
14589,DB11077,Polyethylene glycol 400
14590,DB12612,Ozanimod
14591,DB00145,Glycine
14592,DB13749,Magnesium gluconate
14593,DB13151,Anti-inhibitor coagulant complex
14594,DB13884,Albutrepenonacog alfa
14595,DB00035,Desmopressin
14596,DB00216,Eletriptan
14597,DB00250,Dapsone
14598,DB00470,Dronabinol
14599,DB00471,Montelukast
14600,DB00533,Rofecoxib
14601,DB00549,Zafirlukast
14602,DB00582,Voriconazole
14603,DB00672,Chlorpropamide
14604,DB00773,Etoposide
14605,DB00796,Candesartan cilexetil
14606,DB01041,Thalidomide
14607,DB01075,Diphenhydramine
14608,DB01181,Ifosfamide
14609,DB01198,Zopiclone
14610,DB01221,Ketamine
14611,DB01355,Hexobarbital
14612,DB05109,Trabectedin
14613,DB06737,Zaltoprofen
14614,DB06738,Ketobemidone
14615,DB06739,Seratrodast
14616,DB09214,Dexketoprofen
14617,DB09295,Talniflumate
14618,DB13919,Candesartan
14619,DB00025,"Antihemophilic factor, human recombinant"
14620,DB12364,Betrixaban
14621,DB13998,Lonoctocog alfa
14622,DB13999,Moroctocog alfa
14623,DB01708,Prasterone
14624,DB09070,Tibolone
14625,DB01285,Corticotropin
14626,DB13892,Crotalus atrox antivenin
14627,DB13893,Crotalus adamanteus antivenin
14628,DB00352,Tioguanine
14629,DB00150,Tryptophan
14630,DB09539,Omega-3-acid ethyl esters
14631,DB00127,Spermine
14632,DB00131,Adenosine phosphate
14633,DB06077,Lumateperone
14634,DB00435,Nitric Oxide
14635,DB00727,Nitroglycerin
14636,DB01612,Amyl Nitrite
14637,DB06154,Pentaerythritol tetranitrate
14638,DB06770,Benzyl alcohol
14639,DB09117,Paraldehyde
14640,DB00550,Propylthiouracil
14641,DB00988,Dopamine
14642,DB05394,Corticorelin
14643,DB06774,Capsaicin
14644,DB09072,Sodium oxybate
14645,DB00134,Methionine
14646,DB00139,Succinic acid
14647,DB02209,Pyridoxine phosphate
14648,DB09282,Molsidomine
14649,DB11311,Prothrombin
14650,DB06695,Dabigatran etexilate
14651,DB00161,Valine
14652,DB13620,Potassium gluconate
14653,DB00122,Choline
14654,DB14006,Choline salicylate
14655,DB00179,Masoprocol
14656,DB09061,Cannabidiol
14657,DB09285,Morniflumate
14658,DB11133,Omega-3 fatty acids
14659,DB13168,Omega-6 fatty acids
14660,DB14009,Medical Cannabis
14661,DB14011,Nabiximols
14662,DB00811,Ribavirin
14663,DB00041,Aldesleukin
14664,DB00360,Sapropterin
14665,DB00720,Clodronic acid
14666,DB00856,Chlorphenesin
14667,DB00884,Risedronic acid
14668,DB00887,Bumetanide
14669,DB00963,Bromfenac
14670,DB01395,Drospirenone
14671,DB05095,Cimicoxib
14672,DB05804,Prasterone sulfate
14673,DB05875,"Sar9, Met (O2)11-Substance P"
14674,DB06195,Seliciclib
14675,DB06436,Semaxanib
14676,DB06804,Nonoxynol-9
14677,DB08819,Tafluprost
14678,DB00158,Folic acid
14679,DB01593,Zinc
14680,DB14487,Zinc acetate
14681,DB00118,Ademetionine
14682,DB01157,Trimetrexate
14683,DB08878,Aminopterin
14684,DB06778,Cupric sulfate
14685,DB00396,Progesterone
14686,DB00882,Clomifene
14687,DB01424,Aminophenazone
14688,DB04630,Aldosterone
14689,DB09395,Sodium acetate
14690,DB11936,Bempedoic acid
14691,DB00594,Amiloride
14692,DB13192,Antihemophilic factor human
14693,DB06773,Human calcitonin
14694,DB00019,Pegfilgrastim
14695,DB00082,Pegvisomant
14696,DB00738,Pentamidine
14697,DB04977,Plitidepsin
14698,DB11156,Pyrantel
14699,DB13125,Lusutrombopag
14700,DB14004,Tildrakizumab
14701,DB00358,Mefloquine
14702,DB00863,Ranitidine
14703,DB00940,Methantheline
14704,DB00146,Calcifediol
14705,DB11094,Vitamin D
14706,DB00115,Cyanocobalamin
14707,DB13257,Ferrous sulfate anhydrous
14708,DB11652,Tucatinib
14709,DB00996,Gabapentin
14710,DB06410,Doxercalciferol
14711,DB06777,Chenodeoxycholic acid
14712,DB09462,Glycerin
14713,DB01262,Decitabine
14714,DB08934,Sofosbuvir
14715,DB09110,Coenzyme M
14716,DB11135,Selenium
14717,DB00086,Streptokinase
14718,DB00411,Carbamoylcholine
14719,DB00445,Epirubicin
14720,DB00578,Carbenicillin
14721,DB01083,Orlistat
14722,DB04786,Suramin
14723,DB04827,Urethane
14724,DB05029,Lancovutide
14725,DB08909,Glycerol phenylbutyrate
14726,DB01065,Melatonin
14727,DB06813,Pralatrexate
14728,DB09332,Kappadione
14729,DB00501,Cimetidine
14730,DB01011,Metyrapone
14731,DB01388,Mibefradil
14732,DB14545,Hydrocortisone succinate
14733,DB11256,Levomefolic acid
14734,DB09221,Polaprezinc
14735,DB11859,Brexanolone
14736,DB00526,Oxaliplatin
14737,DB00958,Carboplatin
14738,DB01008,Busulfan
14739,DB11672,Curcumin
14740,DB00291,Chlorambucil
14741,DB11091,Hydrogen peroxide
14742,DB11127,Selenious acid
14743,DB09374,Indocyanine green acid form
14744,DB13155,Esculin
14745,DB09571,Levmetamfetamine
14746,DB14962,Trastuzumab deruxtecan
14747,DB09301,Chondroitin sulfate
14748,DB09288,Propacetamol
14749,DB09328,Vayarin
14750,DB11358,Evening primrose oil
14751,DB09322,Zinc sulfate
14752,DB09498,Strontium chloride Sr-89
14753,DB09338,Mersalyl
14754,DB14596,Loteprednol etabonate
14755,DB14598,Edetate calcium disodium anhydrous
14756,DB14600,Edetate disodium anhydrous
14757,DB14635,Curcumin sulfate
14758,DB01101,Capecitabine
14759,DB09327,Tegafur-uracil
14760,DB09340,Tyropanoic acid
14761,DB11793,Niraparib
14762,DB00436,Bendroflumethiazide
14763,DB01021,Trichlormethiazide
14764,DB01033,Mercaptopurine
14765,DB05239,Cobimetinib
14766,DB09341,"Dextrose, unspecified form"
14767,DB09344,Invert sugar
14768,DB06779,Dalteparin
14769,DB05016,Ataluren
14770,DB00006,Bivalirudin
14771,DB00208,Ticlopidine
14772,DB00233,Aminosalicylic acid
14773,DB00833,Cefaclor
14774,DB01225,Enoxaparin
14775,DB02300,Calcipotriol
14776,DB05161,Elafin
14777,DB06111,AB192
14778,DB06468,Cariporide
14779,DB06823,Tiopronin
14780,DB00987,Cytarabine
14781,DB09502,Fludeoxyglucose (18F)
14782,DB00121,Biotin
14783,DB00201,Caffeine
